symbol,budgetQuote,scenario,name,key,fromAt,toAt,navChangeQuote,holdChangeQuote,alphaQuote,feesQuote,gasQuote,actions,marks,holdingMs,outsideMs
AAPL,5000000000,pinned_fork_costs,adaptive_width,2026-08-03,1785715200000,1786319868000,4600867,2891775,1709092,8402166,178897,1,7242,48545000,0
AAPL,5000000000,pinned_fork_costs,adaptive_width,2026-08-10,1786320003000,1786924791000,-18335059,-52884367,34549308,79929401,225140,1,13787,604923000,329073000
AAPL,5000000000,pinned_fork_costs,adaptive_width,2026-08-17,1786924842000,1787529440000,12087955,35578747,-23490792,97135200,675420,3,12875,604649000,158393000
AAPL,5000000000,pinned_fork_costs,adaptive_width,2026-08-24,1787529654000,1788134317000,401924924,86096092,315828832,483495928,4052520,18,42448,604877000,3790000
AAPL,5000000000,pinned_fork_costs,adaptive_width,2026-08-31,1788134406000,1788739197000,424092800,2999133,421093667,628717387,4953080,22,88790,604880000,1151000
AAPL,5000000000,pinned_fork_costs,adaptive_width,2026-09-07,1788739208000,1789154997000,513147636,88152624,424995012,1034364804,19254534,85,78719,415800000,4997000
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-08-03,1785715200000,1786319868000,4600867,2891775,1709092,8402166,178897,1,7242,48545000,0
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-08-10,1786320003000,1786924791000,-87075725,-52884367,-34191358,6038557,0,0,13787,604923000,566021000
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-08-17,1786924842000,1787529440000,122407586,35578747,86828839,51845127,0,0,12875,604649000,382496000
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-08-24,1787529654000,1788134317000,170609058,86096092,84512966,175724448,225140,1,42448,604877000,384977000
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-08-31,1788134406000,1788739197000,103697,2999133,-2895436,0,0,0,88790,604880000,604880000
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-09-07,1788739208000,1789154997000,96224315,88152624,8071691,174568844,3044454,13,78719,415800000,364086000
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-08-03,1785715200000,1786319868000,-669302288,2839014,-672141302,64797612,55742234,124,7242,403658000,21588000
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-08-10,1786320003000,1786924791000,-430802820,-52884367,-377918453,103417077,40975480,91,13787,604923000,16885000
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-08-17,1786924842000,1787529440000,-517310650,35578747,-552889397,87153222,62588920,139,12875,604649000,27920000
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-08-24,1787529654000,1788134317000,-178912372,86096092,-265008464,464656218,82851520,184,42448,604877000,19797000
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-08-31,1788134406000,1788739197000,15625429,2999133,12626296,591467756,71144240,158,88790,604880000,8622000
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-09-07,1788739208000,1789154997000,-100724585,88101789,-188826374,460027793,71829788,159,78719,415800000,8879000
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-08-03,1785715200000,1786319868000,-210186797,2839014,-213025811,68242133,12065074,27,7242,403658000,4491000
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-08-10,1786320003000,1786924791000,-161290328,-52884367,-108405961,94366922,8555320,19,13787,604923000,4796000
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-08-17,1786924842000,1787529440000,-255134496,35578747,-290713243,85143523,18461480,41,12875,604649000,5649000
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-08-24,1787529654000,1788134317000,37283175,86096092,-48812917,387453533,25665960,57,42448,604877000,5547000
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-08-31,1788134406000,1788739197000,130925325,2999133,127926192,468720194,20712880,46,88790,604880000,2150000
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-09-07,1788739208000,1789154997000,11848210,88101789,-76253579,361525764,24550388,54,78719,415800000,2896000
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-08-03,1785715200000,1786319868000,-140732911,2839014,-143571925,51366382,5310874,12,7242,403658000,2616000
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-08-10,1786320003000,1786924791000,-101204715,-52884367,-48320348,72674839,3602240,8,13787,604923000,2233000
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-08-17,1786924842000,1787529440000,-97839736,35578747,-133418483,66428668,5403360,12,12875,604649000,1580000
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-08-24,1787529654000,1788134317000,196163568,86096092,110067476,260056477,5403360,12,42448,604877000,841000
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-08-31,1788134406000,1788739197000,110412285,2999133,107413152,290183562,5853640,13,88790,604880000,489000
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-09-07,1788739208000,1789154997000,126582619,88101789,38480830,216693390,6088908,13,78719,415800000,691000
AAPL,5000000000,double_gas_half_fees,fixed_160,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,double_gas_half_fees,fixed_160,2026-08-03,1785715200000,1786319868000,0,2839014,-2839014,0,0,0,7242,0,0
AAPL,5000000000,double_gas_half_fees,fixed_160,2026-08-10,1786320003000,1786924791000,12886367,-52884367,65770734,17694606,357794,1,13787,236154000,0
AAPL,5000000000,double_gas_half_fees,fixed_160,2026-08-17,1786924842000,1787529440000,47933773,35578747,12355026,39102974,450280,1,12875,604649000,84025000
AAPL,5000000000,double_gas_half_fees,fixed_160,2026-08-24,1787529654000,1788134317000,196217598,86096092,110121506,157790057,900560,2,42448,604877000,6129000
AAPL,5000000000,double_gas_half_fees,fixed_160,2026-08-31,1788134406000,1788739197000,61624955,2999133,58625822,168446321,1801120,4,88790,604880000,206000
AAPL,5000000000,double_gas_half_fees,fixed_160,2026-09-07,1788739208000,1789154997000,49860036,88101789,-38241753,119938859,2936948,6,78719,415800000,331000
AAPL,5000000000,double_gas_half_fees,adaptive_width,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,double_gas_half_fees,adaptive_width,2026-08-03,1785715200000,1786319868000,219921,2839014,-2619093,4201014,357794,1,7242,48545000,0
AAPL,5000000000,double_gas_half_fees,adaptive_width,2026-08-10,1786320003000,1786924791000,-58497120,-52884367,-5612753,39943316,450280,1,13787,604923000,329073000
AAPL,5000000000,double_gas_half_fees,adaptive_width,2026-08-17,1786924842000,1787529440000,-36659729,35578747,-72238476,48275403,1350840,3,12875,604649000,158393000
AAPL,5000000000,double_gas_half_fees,adaptive_width,2026-08-24,1787529654000,1788134317000,156872788,86096092,70776696,220655564,6303920,14,42448,604877000,2634000
AAPL,5000000000,double_gas_half_fees,adaptive_width,2026-08-31,1788134406000,1788739197000,37468695,2999133,34469562,248590522,9005600,20,88790,604880000,968000
AAPL,5000000000,double_gas_half_fees,adaptive_width,2026-09-07,1788739208000,1789154997000,-36784331,88101789,-124886120,328319009,25901228,57,78719,415800000,3175000
AAPL,5000000000,double_gas_half_fees,adaptive_economic,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,double_gas_half_fees,adaptive_economic,2026-08-03,1785715200000,1786319868000,219921,2839014,-2619093,4201014,357794,1,7242,48545000,0
AAPL,5000000000,double_gas_half_fees,adaptive_economic,2026-08-10,1786320003000,1786924791000,-90018551,-52884367,-37134184,3019227,0,0,13787,604923000,566021000
AAPL,5000000000,double_gas_half_fees,adaptive_economic,2026-08-17,1786924842000,1787529440000,96451306,35578747,60872559,25922118,0,0,12875,604649000,382496000
AAPL,5000000000,double_gas_half_fees,adaptive_economic,2026-08-24,1787529654000,1788134317000,80602740,86096092,-5493352,87536553,450280,1,42448,604877000,384977000
AAPL,5000000000,double_gas_half_fees,adaptive_economic,2026-08-31,1788134406000,1788739197000,51653,2999133,-2947480,0,0,0,88790,604880000,604880000
AAPL,5000000000,double_gas_half_fees,adaptive_economic,2026-09-07,1788739208000,1789154997000,2263190,88101789,-85838599,937662,235268,0,78719,415800000,415696000
AAPL,5000000000,partial_mint_failure,fixed_20,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,partial_mint_failure,fixed_20,2026-08-03,1785715200000,1786319868000,-462417206,2891775,-465308981,114342509,26270837,121,7242,358227000,14710000
AAPL,5000000000,partial_mint_failure,fixed_20,2026-08-10,1786320003000,1786924791000,-272777456,-52884367,-219893089,197780093,21323832,98,13787,574584000,17637000
AAPL,5000000000,partial_mint_failure,fixed_20,2026-08-17,1786924842000,1787529440000,-271684330,35578747,-307263077,155679115,24787343,114,12875,553133000,23022000
AAPL,5000000000,partial_mint_failure,fixed_20,2026-08-24,1787529654000,1788134317000,285058490,86096092,198962398,908913614,40442507,186,42448,553998000,15209000
AAPL,5000000000,partial_mint_failure,fixed_20,2026-08-31,1788134406000,1788739197000,643472346,2999133,640473213,1192186197,30860048,142,88790,570200000,6252000
AAPL,5000000000,partial_mint_failure,fixed_20,2026-09-07,1788739208000,1789154997000,453914506,88152624,365761882,926960701,28189591,129,78719,389832000,6438000
AAPL,5000000000,partial_mint_failure,fixed_40,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,partial_mint_failure,fixed_40,2026-08-03,1785715200000,1786319868000,-160241136,2891775,-163132911,127847189,7377302,34,7242,393080000,4443000
AAPL,5000000000,partial_mint_failure,fixed_40,2026-08-10,1786320003000,1786924791000,-155185430,-52884367,-102301063,183551217,7602442,35,13787,595960000,6273000
AAPL,5000000000,partial_mint_failure,fixed_40,2026-08-17,1786924842000,1787529440000,-209417821,35578747,-244996568,158114425,10661916,49,12875,588534000,6818000
AAPL,5000000000,partial_mint_failure,fixed_40,2026-08-24,1787529654000,1788134317000,435643028,86096092,349546936,772808584,14350567,66,42448,589656000,6720000
AAPL,5000000000,partial_mint_failure,fixed_40,2026-08-31,1788134406000,1788739197000,607795988,2999133,604796855,927007817,9357319,43,88790,590971000,1737000
AAPL,5000000000,partial_mint_failure,fixed_40,2026-09-07,1788739208000,1789154997000,417257494,88152624,329104870,704307262,10958447,50,78719,402085000,2353000
AAPL,5000000000,partial_mint_failure,fixed_80,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,partial_mint_failure,fixed_80,2026-08-03,1785715200000,1786319868000,-49327225,2891775,-52219000,107376005,2384054,11,7242,402961000,3129000
AAPL,5000000000,partial_mint_failure,fixed_80,2026-08-10,1786320003000,1786924791000,-29951184,-52884367,22933183,146527612,2158914,10,13787,601231000,2299000
AAPL,5000000000,partial_mint_failure,fixed_80,2026-08-17,1786924842000,1787529440000,-68724005,35578747,-104302752,129847224,3059474,14,12875,599190000,4164000
AAPL,5000000000,partial_mint_failure,fixed_80,2026-08-24,1787529654000,1788134317000,496408806,86096092,410312714,545365539,2609194,12,42448,601537000,783000
AAPL,5000000000,partial_mint_failure,fixed_80,2026-08-31,1788134406000,1788739197000,407483393,2999133,404484260,619524436,3688651,17,88790,601555000,622000
AAPL,5000000000,partial_mint_failure,fixed_80,2026-09-07,1788739208000,1789154997000,377869362,88152624,289716738,467671385,3356005,15,78719,411337000,540000
AAPL,5000000000,partial_mint_failure,fixed_160,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,partial_mint_failure,fixed_160,2026-08-03,1785715200000,1786319868000,0,2891775,-2891775,0,0,0,7242,0,0
AAPL,5000000000,partial_mint_failure,fixed_160,2026-08-10,1786320003000,1786924791000,30774124,-52884367,83658491,35390449,178897,1,13787,236154000,0
AAPL,5000000000,partial_mint_failure,fixed_160,2026-08-17,1786924842000,1787529440000,87691812,35578747,52113065,78424654,225140,1,12875,604649000,84025000
AAPL,5000000000,partial_mint_failure,fixed_160,2026-08-24,1787529654000,1788134317000,360802611,86096092,274706519,320449244,450280,2,42448,604877000,6129000
AAPL,5000000000,partial_mint_failure,fixed_160,2026-08-31,1788134406000,1788739197000,206070765,2999133,203071632,345241488,1304597,6,88790,602973000,258000
AAPL,5000000000,partial_mint_failure,fixed_160,2026-09-07,1788739208000,1789154997000,209677892,88152624,121525268,249981026,1422231,6,78719,415148000,271000
AAPL,5000000000,partial_mint_failure,adaptive_width,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,partial_mint_failure,adaptive_width,2026-08-03,1785715200000,1786319868000,4600867,2891775,1709092,8402166,178897,1,7242,48545000,0
AAPL,5000000000,partial_mint_failure,adaptive_width,2026-08-10,1786320003000,1786924791000,-18335059,-52884367,34549308,79929401,225140,1,13787,604923000,329073000
AAPL,5000000000,partial_mint_failure,adaptive_width,2026-08-17,1786924842000,1787529440000,12087955,35578747,-23490792,97135200,675420,3,12875,604649000,158393000
AAPL,5000000000,partial_mint_failure,adaptive_width,2026-08-24,1787529654000,1788134317000,348608994,86096092,262512902,398942968,3013231,14,42448,597233000,1960000
AAPL,5000000000,partial_mint_failure,adaptive_width,2026-08-31,1788134406000,1788739197000,321695924,2999133,318696791,461063854,2609194,12,88790,603114000,439000
AAPL,5000000000,partial_mint_failure,adaptive_width,2026-09-07,1788739208000,1789154997000,269879304,88152624,181726680,496028645,11859007,54,78719,404320000,2578000
AAPL,5000000000,partial_mint_failure,adaptive_economic,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,partial_mint_failure,adaptive_economic,2026-08-03,1785715200000,1786319868000,4600867,2891775,1709092,8402166,178897,1,7242,48545000,0
AAPL,5000000000,partial_mint_failure,adaptive_economic,2026-08-10,1786320003000,1786924791000,-87075725,-52884367,-34191358,6038557,0,0,13787,604923000,566021000
AAPL,5000000000,partial_mint_failure,adaptive_economic,2026-08-17,1786924842000,1787529440000,122407586,35578747,86828839,51845127,0,0,12875,604649000,382496000
AAPL,5000000000,partial_mint_failure,adaptive_economic,2026-08-24,1787529654000,1788134317000,170609058,86096092,84512966,175724448,225140,1,42448,604877000,384977000
AAPL,5000000000,partial_mint_failure,adaptive_economic,2026-08-31,1788134406000,1788739197000,103697,2999133,-2895436,0,0,0,88790,604880000,604880000
AAPL,5000000000,partial_mint_failure,adaptive_economic,2026-09-07,1788739208000,1789154997000,98519290,88152624,10366666,155790523,2726828,12,78719,412213000,362959000
AAPL,1000000000,pinned_fork_costs,fixed_20,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,1000000000,pinned_fork_costs,fixed_20,2026-08-03,1785715200000,1786319868000,-83771567,2255053,-86026620,72889265,27871117,124,7242,403658000,21588000
AAPL,1000000000,pinned_fork_costs,fixed_20,2026-08-10,1786320003000,1786924791000,-6625311,-10613192,3987881,116251318,20487740,91,13787,604923000,16885000
AAPL,1000000000,pinned_fork_costs,fixed_20,2026-08-17,1786924842000,1787529440000,-57395833,7140183,-64536016,100635653,31294460,139,12875,604649000,27920000
AAPL,1000000000,pinned_fork_costs,fixed_20,2026-08-24,1787529654000,1788134317000,229333256,17278345,212054911,424366767,41425760,184,42448,604877000,19797000
AAPL,1000000000,pinned_fork_costs,fixed_20,2026-08-31,1788134406000,1788739197000,350904266,601886,350302380,580124065,35572120,158,88790,604880000,8622000
AAPL,1000000000,pinned_fork_costs,fixed_20,2026-09-07,1788739208000,1789154997000,225034236,17742139,207292097,494326958,35914894,159,78719,415800000,8879000
AAPL,1000000000,pinned_fork_costs,fixed_40,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,1000000000,pinned_fork_costs,fixed_40,2026-08-03,1785715200000,1786319868000,6935044,2255053,4679991,60194118,6032537,27,7242,403658000,4491000
AAPL,1000000000,pinned_fork_costs,fixed_40,2026-08-10,1786320003000,1786924791000,33015514,-10613192,43628706,85029348,4277660,19,13787,604923000,4796000
AAPL,1000000000,pinned_fork_costs,fixed_40,2026-08-17,1786924842000,1787529440000,7165099,7140183,24916,80218536,9230740,41,12875,604649000,5649000
AAPL,1000000000,pinned_fork_costs,fixed_40,2026-08-24,1787529654000,1788134317000,199534810,17278345,182256465,283113372,12832980,57,42448,604877000,5547000
AAPL,1000000000,pinned_fork_costs,fixed_40,2026-08-31,1788134406000,1788739197000,243772628,601886,243170742,346450157,10356440,46,88790,604880000,2150000
AAPL,1000000000,pinned_fork_costs,fixed_40,2026-09-07,1788739208000,1789154997000,153648905,17742139,135906766,273651910,12275194,54,78719,415800000,2896000
AAPL,1000000000,pinned_fork_costs,fixed_80,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,1000000000,pinned_fork_costs,fixed_80,2026-08-03,1785715200000,1786319868000,537562,2255053,-1717491,35414177,2655437,12,7242,403658000,1753000
AAPL,1000000000,pinned_fork_costs,fixed_80,2026-08-10,1786320003000,1786924791000,16825437,-10613192,27438629,50700029,1801120,8,13787,604923000,1604000
AAPL,1000000000,pinned_fork_costs,fixed_80,2026-08-17,1786924842000,1787529440000,7727690,7140183,587507,47827002,3602240,16,12875,604649000,2084000
AAPL,1000000000,pinned_fork_costs,fixed_80,2026-08-24,1787529654000,1788134317000,132349480,17278345,115071135,149018381,3151960,14,42448,604877000,747000
AAPL,1000000000,pinned_fork_costs,fixed_80,2026-08-31,1788134406000,1788739197000,123039896,601886,122438010,162748105,2926820,13,88790,604880000,443000
AAPL,1000000000,pinned_fork_costs,fixed_80,2026-09-07,1788739208000,1789154997000,98389881,17742139,80647742,121520703,3044454,13,78719,415800000,691000
AAPL,1000000000,pinned_fork_costs,fixed_160,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,1000000000,pinned_fork_costs,fixed_160,2026-08-03,1785715200000,1786319868000,13184886,2255053,10929833,21220698,629177,3,7242,404028000,128000
AAPL,1000000000,pinned_fork_costs,fixed_160,2026-08-10,1786320003000,1786924791000,13153624,-10613192,23766816,28316330,225140,1,13787,604923000,130000
AAPL,1000000000,pinned_fork_costs,fixed_160,2026-08-17,1786924842000,1787529440000,18174217,7140183,11034034,27573527,675420,3,12875,604649000,147000
AAPL,1000000000,pinned_fork_costs,fixed_160,2026-08-24,1787529654000,1788134317000,74730942,17278345,57452597,77029668,900560,4,42448,604877000,419000
AAPL,1000000000,pinned_fork_costs,fixed_160,2026-08-31,1788134406000,1788739197000,46794807,601886,46192921,78610798,1350840,6,88790,604880000,214000
AAPL,1000000000,pinned_fork_costs,fixed_160,2026-09-07,1788739208000,1789154997000,45204859,17742139,27462720,55162554,1243334,5,78719,415800000,270000
AAPL,1000000000,pinned_fork_costs,adaptive_width,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,1000000000,pinned_fork_costs,adaptive_width,2026-08-03,1785715200000,1786319868000,1505809,2255053,-749244,42911997,4231417,19,7242,403658000,3973000
AAPL,1000000000,pinned_fork_costs,adaptive_width,2026-08-10,1786320003000,1786924791000,14549322,-10613192,25162514,45657048,1125700,5,13787,604923000,24643000
AAPL,1000000000,pinned_fork_costs,adaptive_width,2026-08-17,1786924842000,1787529440000,-1921044,7140183,-9061227,57778595,7204480,32,12875,604649000,6064000
AAPL,1000000000,pinned_fork_costs,adaptive_width,2026-08-24,1787529654000,1788134317000,104950744,17278345,87672399,109050836,2926820,13,42448,604877000,688000
AAPL,1000000000,pinned_fork_costs,adaptive_width,2026-08-31,1788134406000,1788739197000,244126349,601886,243524463,391124219,23864840,106,88790,604880000,5107000
AAPL,1000000000,pinned_fork_costs,adaptive_width,2026-09-07,1788739208000,1789154997000,88109465,17742139,70367326,221260360,20380234,90,78719,415800000,4652000
AAPL,1000000000,pinned_fork_costs,adaptive_economic,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,1000000000,pinned_fork_costs,adaptive_economic,2026-08-03,1785715200000,1786319868000,-8786384,2255053,-11041437,4255693,404037,2,7242,403658000,373970000
AAPL,1000000000,pinned_fork_costs,adaptive_economic,2026-08-10,1786320003000,1786924791000,25831722,-10613192,36444914,38062735,450280,2,13787,604923000,398744000
AAPL,1000000000,pinned_fork_costs,adaptive_economic,2026-08-17,1786924842000,1787529440000,682489,7140183,-6457694,465812,0,0,12875,604649000,600471000
AAPL,1000000000,pinned_fork_costs,adaptive_economic,2026-08-24,1787529654000,1788134317000,40602301,17278345,23323956,54976376,2026260,9,42448,604877000,529007000
AAPL,1000000000,pinned_fork_costs,adaptive_economic,2026-08-31,1788134406000,1788739197000,92050216,601886,91448330,124426586,2476540,11,88790,604880000,456244000
AAPL,1000000000,pinned_fork_costs,adaptive_economic,2026-09-07,1788739208000,1789154997000,99108390,17742139,81366251,151636355,6196414,27,78719,415800000,269722000
AAPL,1000000000,double_gas_half_fees,fixed_20,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,1000000000,double_gas_half_fees,fixed_20,2026-08-03,1785715200000,1786319868000,-146711624,2202292,-148913916,36073383,55742234,124,7242,403658000,21588000
AAPL,1000000000,double_gas_half_fees,fixed_20,2026-08-10,1786320003000,1786924791000,-81546924,-10613192,-70933732,55941263,40975480,91,13787,604923000,16885000
AAPL,1000000000,double_gas_half_fees,fixed_20,2026-08-17,1786924842000,1787529440000,-127277467,7140183,-134417650,46896211,62588920,139,12875,604649000,27920000
AAPL,1000000000,double_gas_half_fees,fixed_20,2026-08-24,1787529654000,1788134317000,-28832191,17278345,-46110536,174257317,82851520,184,42448,604877000,19797000
AAPL,1000000000,double_gas_half_fees,fixed_20,2026-08-31,1788134406000,1788739197000,4322313,601886,3720427,198294092,71144240,158,88790,604880000,8622000
AAPL,1000000000,double_gas_half_fees,fixed_20,2026-09-07,1788739208000,1789154997000,-56630597,17691304,-74321901,141981487,71829788,159,78719,415800000,8879000
AAPL,1000000000,double_gas_half_fees,fixed_40,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,1000000000,double_gas_half_fees,fixed_40,2026-08-03,1785715200000,1786319868000,-29206759,2202292,-31409051,29817424,12065074,27,7242,403658000,4491000
AAPL,1000000000,double_gas_half_fees,fixed_40,2026-08-10,1786320003000,1786924791000,-13432390,-10613192,-2819198,41120671,8555320,19,13787,604923000,4796000
AAPL,1000000000,double_gas_half_fees,fixed_40,2026-08-17,1786924842000,1787529440000,-38557152,7140183,-45697335,37731481,18461480,41,12875,604649000,5649000
AAPL,1000000000,double_gas_half_fees,fixed_40,2026-08-24,1787529654000,1788134317000,36857873,17278345,19579528,122581737,25665960,57,42448,604877000,5547000
AAPL,1000000000,double_gas_half_fees,fixed_40,2026-08-31,1788134406000,1788739197000,44711728,601886,44109842,133553243,20712880,46,88790,604880000,2150000
